Name,Class,Score
Adventurer_1,Warrior,54
Adventurer_2,Rogue,77
Adventurer_3,Warrior,96
Adventurer_4,Healer,80
Adventurer_5,Healer,63
Adventurer_6,Rogue,72
Adventurer_7,Mage,71
Adventurer_8,Warrior,65
Adventurer_9,Warrior,77
Adventurer_10,Rogue,77
Adventurer_11,Healer,73
Adventurer_12,Healer,75
Adventurer_13,Warrior,51
Adventurer_14,Warrior,51
Adventurer_15,Healer,54
Adventurer_16,Rogue,87
Adventurer_17,Healer,86
Adventurer_18,Rogue,74
Adventurer_19,Rogue,84
Adventurer_20,Healer,66
Adventurer_21,Mage,95
Adventurer_22,Rogue,90
Adventurer_23,Rogue,60
Adventurer_24,Warrior,62
Adventurer_25,Warrior,72
Adventurer_26,Mage,65
Adventurer_27,Rogue,87
Adventurer_28,Mage,95
Adventurer_29,Mage,53
Adventurer_30,Rogue,82
Adventurer_31,Mage,61
Adventurer_32,Mage,53
Adventurer_33,Rogue,62
Adventurer_34,Mage,68
Adventurer_35,Healer,84
Adventurer_36,Warrior,70
Adventurer_37,Healer,77
Adventurer_38,Warrior,92
Adventurer_39,Healer,96
Adventurer_40,Mage,58
Adventurer_41,Healer,82
Adventurer_42,Warrior,61
Adventurer_43,Healer,50
Adventurer_44,Rogue,86
Adventurer_45,Mage,64
Adventurer_46,Rogue,84
Adventurer_47,Healer,57
Adventurer_48,Warrior,85
Adventurer_49,Warrior,68
Adventurer_50,Warrior,84
Adventurer_51,Healer,99
Adventurer_52,Warrior,52
Adventurer_53,Rogue,71
Adventurer_54,Mage,85
Adventurer_55,Healer,59
Adventurer_56,Warrior,51
Adventurer_57,Warrior,50
Adventurer_58,Mage,99
Adventurer_59,Rogue,68
Adventurer_60,Rogue,62
Adventurer_61,Rogue,97
Adventurer_62,Rogue,94
Adventurer_63,Warrior,50
Adventurer_64,Healer,53
Adventurer_65,Warrior,84
Adventurer_66,Mage,66
Adventurer_67,Warrior,83
Adventurer_68,Mage,60
Adventurer_69,Mage,96
Adventurer_70,Healer,78
Adventurer_71,Healer,68
Adventurer_72,Warrior,90
Adventurer_73,Warrior,87
Adventurer_74,Healer,79
Adventurer_75,Rogue,86
Adventurer_76,Healer,79
Adventurer_77,Warrior,51
Adventurer_78,Mage,62
Adventurer_79,Warrior,58
Adventurer_80,Healer,83
Adventurer_81,Mage,68
Adventurer_82,Rogue,88
Adventurer_83,Mage,57
Adventurer_84,Healer,89
Adventurer_85,Mage,84
Adventurer_86,Healer,81
Adventurer_87,Healer,81
Adventurer_88,Rogue,91
Adventurer_89,Rogue,97
Adventurer_90,Warrior,74
Adventurer_91,Rogue,76
Adventurer_92,Mage,74
Adventurer_93,Mage,75
Adventurer_94,Rogue,61
Adventurer_95,Rogue,62
Adventurer_96,Rogue,53
Adventurer_97,Mage,90
Adventurer_98,Rogue,75
Adventurer_99,Warrior,72
Adventurer_100,Healer,54
